,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Banda ancha fija,Dial up,Provincia,Partido,Localidad,4G,3G,TELEFONIAFIJA,SATELITAL
3300,2017.3224611597254,1.8820973114854458,SI,2.756.294,226.285,427.15140544040514,33.395581099605096,9.571.562,Oct-Dic 2014,75.96030780968661,-37.4529728134155,5.049.640,859.413,967.508,1.250.366,3.500.882,212.65375397068334,7.842.778,21.829251558510975,BUENOS AIRES,Guaminí,Arroyo Venado,SI,SI,SI,SI
3301,2013.804765508203,3.7644509492339377,SI,2.756.294,226.285,152.1606090776564,141.666736046971,9.571.562,Oct-Dic 2014,39.50407348738362,223.28787143676482,5.049.640,859.413,967.508,1.250.366,3.500.882,199.57958796932002,7.842.778,1.1666535712747859,BUENOS AIRES,Guaminí,Casbas,SI,SI,SI,SI
3302,2015.570537752589,2.8252062488655953,SI,2.756.294,226.285,242.18177055025183,128.17835205482177,9.571.562,Oct-Dic 2014,73.12753225678983,409.86287124205614,5.049.640,859.413,967.508,1.250.366,3.500.882,174.00431667164904,7.842.778,29.137962198778954,BUENOS AIRES,Guaminí,Garré,SI,SI,SI,SI
3303,2018.0339624230667,1.7720393100113343,SI,2.756.294,226.285,-70.39745428878871,183.71481003607005,9.571.562,Oct-Dic 2014,-24.839308943540154,247.39523674381667,5.049.640,859.413,967.508,1.250.366,3.500.882,-42.31802141087502,7.842.778,35.01559697768391,BUENOS AIRES,Guaminí,Guaminí,SI,SI,SI,SI
3304,2016.5869432462548,4.134989817362743,SI,2.756.294,226.285,403.9615636408282,267.4546665248257,9.571.562,Oct-Dic 2014,205.17555999290244,-19.219964790665244,5.049.640,859.413,967.508,1.250.366,3.500.882,24.05858179035286,7.842.778,35.22381021727229,BUENOS AIRES,Guaminí,Laguna Alsina (Est. Bonifacio),SI,SI,SI,SI
3305,2021.2984678875061,4.623183044919022,SI,2.756.294,226.285,85.74004695804203,73.88176802111046,9.571.562,Oct-Dic 2014,58.66203569010307,48.56788983925958,5.049.640,859.413,967.508,1.250.366,3.500.882,253.73228964897265,7.842.778,28.80924782150174,BUENOS AIRES,Hipólito Yrigoyen,Henderson,SI,SI,SI,SI
3306,2017.2564943036846,1.7567282992001716,SI,2.756.294,226.285,198.44607623928482,297.1701304968889,9.571.562,Oct-Dic 2014,85.12806838674078,-25.45220841372111,5.049.640,859.413,967.508,1.250.366,3.500.882,138.92045568139736,7.842.778,18.41310385671235,BUENOS AIRES,Hipólito Yrigoyen,Herrera Vegas,SI,SI,SI,SI
3307,2019.9370704928313,2.858943634422789,SI,2.756.294,226.285,335.816627951597,213.61447905046504,9.571.562,Oct-Dic 2014,45.73301305785167,270.9215025691273,5.049.640,859.413,967.508,1.250.366,3.500.882,20.943811538053737,7.842.778,-1.1236262891729822,BUENOS AIRES,Hurlingham,Hurlingham,SI,SI,SI,SI
3308,2018.8621240275866,3.39207750902244,SI,2.756.294,226.285,378.8775455979654,174.98486929016937,9.571.562,Oct-Dic 2014,30.93028255168051,185.72381913099997,5.049.640,859.413,967.508,1.250.366,3.500.882,146.1103885156166,7.842.778,28.160502487806664,JUJUY,Yavi,El Cóndor,SI,SI,SI,SI
3309,2018.6637908321004,1.7245560563130715,SI,2.756.294,226.285,127.83800310624316,186.37683889427296,9.571.562,Oct-Dic 2014,80.57541122991726,222.4186025635284,5.049.640,859.413,967.508,1.250.366,3.500.882,187.80541103647633,7.842.778,15.676024424928944,JUJUY,Yavi,La Intermedia,SI,SI,SI,SI
